Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_54800-102962,230601,NG (Natural Gas),7.0,3.09,8.037
ID_54912-103165,211211,NG (Natural Gas),100.0,44.17,8.037
ID_54936-103167,285491,NG (Natural Gas),2.6,1.15,8.037
ID_54951-103168,233771,BIO,1.8,0.62,13.5
ID_54996-103169,286671,GEO,47.5,5.21,9.54
ID_55049-103171,201361,BIO,4.0,1.37,13.5
ID_55084-103172,211211,NG (Natural Gas),247.4,109.28,8.037
ID_55094-103173,285491,BIO,6.4,2.19,13.5
ID_55112-103174,201361,NG (Natural Gas),636.0,280.92,8.037
ID_55151-103175,261331,NG (Natural Gas),1200.0,530.04,8.037
ID_55161-103176,252891,BIO,6.0,2.06,13.5
ID_55182-103177,261331,NG (Natural Gas),605.4,267.41,8.037
ID_55184-103178,261331,NG (Natural Gas),6.2,2.74,8.037
ID_55217-103179,211211,NG (Natural Gas),678.3,299.61,8.037
ID_55295-103180,400041,NG (Natural Gas),591.0,261.04,8.037
ID_55333-103181,211211,NG (Natural Gas),943.5,416.74,8.037
ID_55345-103182,285491,NG (Natural Gas),688.5,304.11,8.037
ID_55393-103183,233771,NG (Natural Gas),635.0,280.48,8.037
ID_55400-103203,261331,NG (Natural Gas),623.0,275.18,8.037
ID_55499-103204,201361,NG (Natural Gas),60.5,26.72,8.037
ID_55508-103205,261331,NG (Natural Gas),60.5,26.72,8.037
ID_55510-103206,285491,NG (Natural Gas),60.5,26.72,8.037
ID_55512-103207,285491,NG (Natural Gas),48.7,21.51,8.037
ID_55513-103208,285491,NG (Natural Gas),58.9,26.02,8.037
ID_55518-103209,280991,NG (Natural Gas),852.0,376.33,8.037
ID_55538-103210,283651,NG (Natural Gas),49.9,22.04,8.037
ID_55540-103211,285491,NG (Natural Gas),44.0,19.43,8.037
ID_55541-103212,286671,NG (Natural Gas),149.7,66.12,8.037
ID_55542-103213,285491,NG (Natural Gas),99.8,44.08,8.037
ID_55601-103214,280781,BIO,6.0,2.06,13.5
ID_55602-103215,285491,BIO,3.6,1.23,13.5
ID_55603-103216,258301,BIO,3.0,1.03,13.5
ID_55625-103217,211211,NG (Natural Gas),47.0,20.76,8.037
ID_55626-103218,211211,NG (Natural Gas),47.0,20.76,8.037
ID_55627-103219,211211,NG (Natural Gas),47.0,20.76,8.037
ID_55656-103220,252891,NG (Natural Gas),779.0,344.08,8.037
ID_55698-103221,230601,NG (Natural Gas),92.2,40.72,8.037
ID_55748-103251,211211,NG (Natural Gas),306.1,135.2,8.037
ID_55752-103252,211211,BIO,3.2,1.1,13.5
ID_55753-103253,211211,BIO,3.2,1.1,13.5
ID_55766-103254,230601,BIO,9.0,3.08,13.5
ID_55807-103255,230601,NG (Natural Gas),98.0,43.29,8.037
ID_55810-103256,230171,NG (Natural Gas),135.0,59.63,8.037
ID_55811-103257,261331,NG (Natural Gas),47.3,20.89,8.037
ID_55813-103258,201361,NG (Natural Gas),47.3,20.89,8.037
ID_55820-103259,280991,BIO,1.3,0.45,13.5
ID_55847-103260,201361,NG (Natural Gas),47.0,20.76,8.037
ID_55851-103261,211211,NG (Natural Gas),51.0,22.53,8.037
ID_55853-103262,261001,NG (Natural Gas),819.0,361.75,8.037
ID_55855-103263,211211,NG (Natural Gas),47.0,20.76,8.037
ID_55874-103264,261331,NG (Natural Gas),49.9,22.04,8.037
ID_55880-103265,211211,BIO,1.6,0.55,13.5
ID_55933-103266,211211,NG (Natural Gas),336.1,148.46,8.037
ID_55934-103267,280991,NG (Natural Gas),44.8,19.79,8.037
ID_55935-103268,280991,NG (Natural Gas),44.8,19.79,8.037
ID_55950-103269,261331,NG (Natural Gas),46.6,20.58,8.037
ID_55951-103270,280991,NG (Natural Gas),60.5,26.72,8.037
ID_55963-103271,211211,NG (Natural Gas),47.0,20.76,8.037
ID_55970-103272,230601,NG (Natural Gas),530.0,234.1,8.037
ID_55983-103273,286671,GEO,58.3,6.4,9.54
ID_55984-103274,286671,GEO,11.5,1.26,9.54
ID_55985-103275,285491,NG (Natural Gas),559.0,246.91,8.037
ID_56026-103379,211211,NG (Natural Gas),154.0,68.02,8.037
ID_56036-103380,211211,BIO,6.6,2.26,13.5
ID_56039-103381,255981,NG (Natural Gas),11.8,5.21,8.037
ID_56041-103382,255981,NG (Natural Gas),130.0,57.42,8.037
ID_56046-103383,252891,NG (Natural Gas),387.6,171.2,8.037
ID_56051-103384,253751,NG (Natural Gas),57.4,25.35,8.037
ID_56078-103475,230601,NG (Natural Gas),300.6,132.78,8.037
ID_56080-103476,211211,BIO,2.6,0.89,13.5
ID_56080-103477,211211,NG (Natural Gas),8.4,3.71,8.037
ID_56090-103478,280991,NG (Natural Gas),8.0,3.53,8.037
ID_56134-103513,230601,NG (Natural Gas),3.0,1.33,8.037
ID_56134-103514,230601,OIL,1.8,0.63,9.96
ID_56135-103515,230601,NG (Natural Gas),121.0,53.45,8.037
ID_56143-103516,280991,NG (Natural Gas),196.0,86.57,8.037
ID_56144-103517,280991,NG (Natural Gas),40.0,17.67,8.037
