name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ID_52082-102591,ngcc,bus_252891,6.8,8.037,3.0,3.42,20.0,326.0,3.31,1.0,3.0
ID_52083-102592,ngcc,bus_261331,6.8,8.037,3.0,3.42,20.0,326.0,3.31,1.0,3.0
ID_52085-102593,ngcc,bus_252891,12.4,8.037,5.48,3.42,37.0,595.0,6.03,1.0,3.0
ID_52086-102594,ngcc,bus_261331,13.6,8.037,6.01,3.42,41.0,653.0,6.62,1.0,3.0
ID_52096-102595,ngcc,bus_252891,42.8,8.037,18.9,3.42,128.0,2054.0,20.83,1.0,3.0
ID_52099-102596,biomass,bus_261001,16.0,13.5,5.48,5.41,48.0,192.0,14.92,7.0,7.0
ID_52104-102597,ngcc,bus_252891,12.4,8.037,5.48,3.42,37.0,595.0,6.03,1.0,3.0
ID_52107-102598,ngcc,bus_252891,48.8,8.037,21.55,3.42,146.0,2342.0,23.75,1.0,3.0
ID_52109-102599,ngcc,bus_211211,155.6,8.037,68.73,3.42,467.0,7469.0,75.71,1.0,3.0
ID_52115-102600,ngcc,bus_230601,2.8,8.037,1.24,3.42,8.0,134.0,1.36,1.0,3.0
ID_52147-102604,ngcc,bus_285491,28.0,8.037,12.37,3.42,84.0,1344.0,13.62,1.0,3.0
ID_52158-102605,geothermal,bus_211211,25.0,9.54,2.74,0.0,75.0,0.0,4.4,6.0,6.0
ID_52169-102674,ngcc,bus_252891,234.0,8.037,103.36,3.42,702.0,11232.0,113.86,1.0,3.0
ID_52186-102675,ngcc,bus_201361,49.0,8.037,21.64,3.42,147.0,2352.0,23.84,1.0,3.0
